"v1","v2","asso","diss","adja"
"Cellulomonas sp. S1-8","Jiangella alkaliphila",0.77346923063984,0.336549230693044,0.663450769306956
"Cellulomonas sp. S1-8","Ilumatobacter sp.",0.769609711113235,0.33940410198373,0.66059589801627
"Streptomyces lividans","Mycobacterium sp. PDNC021",0.759019061395401,0.347117371075404,0.652882628924596
"Streptomyces lividans","Olsenella uli",0.75139443251804,0.352565999127794,0.647434000872206
"Kitasatospora cathayae","Kitasatospora camelliae",0.767554120293292,0.340914857190698,0.659085142809302
"Kitasatospora cathayae","Kitasatospora herbaricolor",0.767782151743842,0.340747595924137,0.659252404075863
"Kitasatospora cathayae","Kitasatospora setae",0.767889667500226,0.340668704535487,0.659331295464513
"Kitasatospora cathayae","Kitasatospora fiedleri",0.768601050344771,0.34014625505452,0.65985374494548
"Kitasatospora cathayae","Actinacidiphila glaucinigra",0.75924335615953,0.34695579245811,0.65304420754189
"Kitasatospora cathayae","Actinacidiphila bryophytorum",0.767392060776627,0.341033678119458,0.658966321880541
"Kitasatospora cathayae","Actinacidiphila sp. ITFR-21",0.759149641236607,0.347023312447012,0.652976687552988
"Kitasatospora cathayae","Embleya sp. NBC_00888",0.763662355594102,0.343756923134573,0.656243076865427
"Kitasatospora cathayae","Embleya sp. NBC_00896",0.758820221029679,0.347260549854371,0.652739450145629
"Kitasatospora cathayae","Streptacidiphilus sp. P02-A3a",0.75753158698808,0.348187028055268,0.651812971944732
"Kitasatospora cathayae","Streptacidiphilus sp. PB12-B1b",0.758750114394955,0.347311017392945,0.652688982607055
"Kitasatospora cathayae","Mycolicibacterium sp. P1-18",0.765311012871387,0.342555825471275,0.657444174528725
"Kitasatospora cathayae","Actinomyces sp. HMT 175",0.758050210048015,0.347814454811746,0.652185545188254
"Kitasatospora cathayae","Bacillus subtilis",0.754379706432907,0.350442786747775,0.649557213252225
"Kitasatospora camelliae","Kitasatospora herbaricolor",0.769398391577875,0.339559721125846,0.660440278874154
"Kitasatospora camelliae","Kitasatospora setae",0.769405777072416,0.339554283530324,0.660445716469676
"Kitasatospora camelliae","Kitasatospora fiedleri",0.762922389226184,0.344294649082596,0.655705350917404
"Kitasatospora camelliae","Actinacidiphila glaucinigra",0.767546438446749,0.340920490403005,0.659079509596995
"Kitasatospora camelliae","Actinacidiphila bryophytorum",0.763008329971476,0.344232239940221,0.655767760059779
