"v1","v2","asso","diss","adja"
"Streptomyces spongiicola","Streptomyces lavendulae",0.769847310706076,0.339229044521488,0.660770955478512
"Streptomyces spongiicola","Streptomyces cinnabarinus",0.779026372633516,0.332395568086041,0.667604431913959
"Streptomyces spongiicola","Streptomyces viridosporus",0.764287299806045,0.343302126554697,0.656697873445303
"Streptomyces incarnatus","Streptomyces vilmorinianum",0.76457599618145,0.343091827226,0.656908172774
"Streptomyces incarnatus","Streptomyces okerensis",0.764284802905999,0.343303944846255,0.656696055153745
"Streptomyces vilmorinianum","Streptomyces okerensis",0.757324254736027,0.34833586182302,0.65166413817698
"Streptomyces vilmorinianum","Streptomyces argyrophylli",0.780631774009065,0.331185919077891,0.668814080922109
"Streptomyces vilmorinianum","Streptomyces tanashiensis",0.781517617980143,0.330516551794201,0.669483448205799
"Streptomyces vilmorinianum","Streptomyces viridosporus",0.774273735792226,0.335951085879904,0.664048914120096
"Streptomyces okerensis","Streptomyces argyrophylli",0.759881092329647,0.346495965106632,0.653504034893368
"Streptomyces argyrophylli","Streptomyces tanashiensis",0.771561009971298,0.337963748077144,0.662036251922856
"Streptomyces argyrophylli","Streptomyces viridosporus",0.777688208121716,0.333400503807571,0.666599496192429
"Streptomyces tanashiensis","Streptomyces lavendulae",0.777950368795593,0.333203864926869,0.666796135073131
"Streptomyces tanashiensis","Streptomyces viridosporus",0.777134547976666,0.333815407091504,0.666184592908496
"Streptomyces lavendulae","Streptomyces cinnabarinus",0.767192669482616,0.341179813674098,0.658820186325902
"Streptomyces lavendulae","Streptomyces viridosporus",0.773711714375216,0.336369057453851,0.663630942546149
"Streptomyces poriferorum","Streptomyces libani",0.789277861287055,0.324593698885965,0.675406301114035
"Streptomyces poriferorum","Streptomyces autolyticus",0.789199888845711,0.324653747209461,0.675346252790539
"Streptomyces poriferorum","Streptomyces yunnanensis",0.791121864969752,0.323170338235309,0.676829661764691
"Streptomyces poriferorum","Streptomyces cinereoruber",0.755731780534976,0.349476908725759,0.650523091274241
"Streptomyces poriferorum","Streptomyces spinosirectus",0.786426011578214,0.326782793627346,0.673217206372654
"Streptomyces poriferorum","Streptomyces lienomycini",0.763972803812738,0.343531072966669,0.656468927033331
"Streptomyces poriferorum","Streptomyces cellulosae",0.78061826725907,0.331196114666922,0.668803885333078
"Streptomyces poriferorum","Streptomyces rubrolavendulae",0.790924724077471,0.323322807672556,0.676677192327444
"Streptomyces poriferorum","Streptomyces scabiei",0.773691448447289,0.336384119387874,0.663615880612126
"Streptomyces poriferorum","Streptomyces glycanivorans",0.783831876857309,0.328761405233865,0.671238594766135
"Streptomyces poriferorum","Streptomyces exfoliatus",0.777162655097125,0.333794356530241,0.666205643469759
"Streptomyces poriferorum","Streptomyces zhihengii",0.776280246529294,0.334454595924997,0.665545404075003
"Streptomyces poriferorum","Kitasatospora sp. MMS16-BH015",0.775747562015667,0.334852533202552,0.665147466797448
"Streptomyces poriferorum","Kitasatospora sp. NBC_00458",0.788689375347413,0.325046631002835,0.674953368997165
"Streptomyces poriferorum","Microbispora hainanensis",0.777701932398277,0.333390212515097,0.666609787484903
"Streptomyces poriferorum","Microbispora maris",0.763546770736284,0.343840972881154,0.656159027118846
"Streptomyces poriferorum","Microbispora sp. NBC_01189",0.755953582873859,0.349318205312964,0.650681794687036
"Streptomyces poriferorum","Streptosporangium sp. NBC_01469",0.759796027522766,0.34655733470613,0.65344266529387
"Streptomyces poriferorum","Streptosporangium sp. NBC_01755",0.756896913375133,0.348642429019237,0.651357570980763
"Streptomyces poriferorum","Bifidobacterium sp. ESL0682",0.757990057707064,0.347857688065778,0.652142311934222
"Streptomyces poriferorum","Lactococcus sp.",0.759394005775458,0.346847224455193,0.653152775544807
"Streptomyces poriferorum","Staphylococcus hyicus",0.771879497324813,0.337728073067066,0.662271926932934
"Streptomyces libani","Streptomyces autolyticus",0.785968862620445,0.327132341247052,0.672867658752948
"Streptomyces libani","Streptomyces yunnanensis",0.792720346318816,0.32193140083035,0.67806859916965
"Streptomyces libani","Streptomyces cinereoruber",0.773918778949491,0.336215125366564,0.663784874633436
"Streptomyces libani","Streptomyces spinosirectus",0.776479015162203,0.334305986214573,0.665694013785427
"Streptomyces libani","Streptomyces lienomycini",0.756698238812878,0.348784862907725,0.651215137092275
"Streptomyces libani","Streptomyces cellulosae",0.7847457627561,0.328065723022004,0.671934276977996
"Streptomyces libani","Streptomyces rubrolavendulae",0.784674154859332,0.328120286739991,0.671879713260009
"Streptomyces libani","Streptomyces scabiei",0.761338274191557,0.345442995158711,0.654557004841289
"Streptomyces libani","Streptomyces glycanivorans",0.774180983456669,0.336020100993476,0.663979899006524
"Streptomyces libani","Streptomyces exfoliatus",0.778300204111559,0.332941283027835,0.667058716972165
"Streptomyces libani","Streptomyces zhihengii",0.767551933418061,0.340916460868303,0.659083539131697
"Streptomyces libani","Kitasatospora sp. NBC_00458",0.786354128572079,0.326837781956065,0.673162218043935
"Streptomyces libani","Microbispora hainanensis",0.765977834392863,0.342068827582357,0.657931172417643
"Streptomyces libani","Staphylococcus hyicus",0.76903577294301,0.339826593321498,0.660173406678502
"Streptomyces autolyticus","Streptomyces yunnanensis",0.786954481964594,0.326378245319297,0.673621754680703
"Streptomyces autolyticus","Streptomyces cinereoruber",0.769746998627855,0.339302962978623,0.660697037021377
"Streptomyces autolyticus","Streptomyces spinosirectus",0.781531417530927,0.330506113762721,0.66949388623728
"Streptomyces autolyticus","Streptomyces lienomycini",0.776912340181355,0.333981780804466,0.666018219195534
"Streptomyces autolyticus","Streptomyces cellulosae",0.788154795630313,0.325457527466862,0.674542472533138
"Streptomyces autolyticus","Streptomyces rubrolavendulae",0.778787484894395,0.332575190825778,0.667424809174222
"Streptomyces autolyticus","Streptomyces scabiei",0.760374326471496,0.34613990923361,0.65386009076639
"Streptomyces autolyticus","Streptomyces glycanivorans",0.767533026103142,0.340930325650901,0.659069674349099
"Streptomyces autolyticus","Streptomyces exfoliatus",0.773150532950369,0.336785886766081,0.663214113233919
"Streptomyces autolyticus","Streptomyces zhihengii",0.76568743084076,0.342281002364461,0.657718997635539
"Streptomyces autolyticus","Kitasatospora sp. MMS16-BH015",0.769969604011274,0.339138906636149,0.660861093363851
"Streptomyces autolyticus","Kitasatospora sp. NBC_00458",0.78572678527812,0.327317288515196,0.672682711484804
"Streptomyces autolyticus","Microbispora hainanensis",0.763488367867112,0.343883433835426,0.656116566164574
"Streptomyces autolyticus","Microbispora maris",0.759013058663201,0.34712169432117,0.65287830567883
"Streptomyces autolyticus","Streptosporangium sp. NBC_01469",0.755192703355646,0.349862327669295,0.650137672330705
"Streptomyces autolyticus","Staphylococcus hyicus",0.780820652865995,0.33104331071176,0.66895668928824
"Streptomyces autolyticus","Staphylococcus pasteuri",0.758004096820411,0.347847598223409,0.652152401776591
"Streptomyces yunnanensis","Streptomyces cinereoruber",0.771552322494931,0.337970174353499,0.662029825646501
"Streptomyces yunnanensis","Streptomyces spinosirectus",0.776850537940049,0.334028039287087,0.665971960712913
"Streptomyces yunnanensis","Streptomyces lienomycini",0.763564087888073,0.343828381690581,0.656171618309419
"Streptomyces yunnanensis","Streptomyces cellulosae",0.777915175352511,0.333230269218966,0.666769730781034
"Streptomyces yunnanensis","Streptomyces rubrolavendulae",0.78434151204914,0.328373634714223,0.671626365285777
"Streptomyces yunnanensis","Streptomyces scabiei",0.766802133759429,0.341465859377311,0.658534140622689
"Streptomyces yunnanensis","Streptomyces glycanivorans",0.782962613799044,0.329421755657513,0.670578244342487
"Streptomyces yunnanensis","Streptomyces exfoliatus",0.782425621258027,0.329829030515791,0.670170969484209
"Streptomyces yunnanensis","Streptomyces zhihengii",0.772913153214344,0.336962050374858,0.663037949625142
"Streptomyces yunnanensis","Kitasatospora sp. MMS16-BH015",0.766547422866,0.34165229190948,0.65834770809052
"Streptomyces yunnanensis","Kitasatospora sp. NBC_00458",0.785447945912435,0.327530192568231,0.672469807431769
"Streptomyces yunnanensis","Microbispora hainanensis",0.76986263102656,0.33921775379057,0.66078224620943
"Streptomyces yunnanensis","Lactococcus sp.",0.757621924310474,0.348122159370476,0.651877840629524
"Streptomyces yunnanensis","Staphylococcus hyicus",0.76985074577149,0.339226512988379,0.660773487011621
"Streptomyces yunnanensis","Staphylococcus pasteuri",0.762074120988276,0.344910045527616,0.655089954472384
"Streptomyces cinereoruber","Streptomyces cellulosae",0.758303448723036,0.347632385773365,0.652367614226635
"Streptomyces cinereoruber","Kitasatospora sp. NBC_00458",0.756616945366822,0.348843127088078,0.651156872911922
"Streptomyces cinereoruber","Staphylococcus hyicus",0.758680444637082,0.347361163173805,0.652638836826195
"Streptomyces spinosirectus","Streptomyces cellulosae",0.775801573965734,0.334812205597605,0.665187794402395
"Streptomyces spinosirectus","Streptomyces rubrolavendulae",0.782896636547015,0.329471822355861,0.670528177644139
"Streptomyces spinosirectus","Streptomyces scabiei",0.771916722793686,0.337700516142865,0.662299483857135
"Streptomyces spinosirectus","Streptomyces glycanivorans",0.777364839293057,0.33364289345567,0.66635710654433
"Streptomyces spinosirectus","Streptomyces exfoliatus",0.769555367272013,0.33944412848655,0.66055587151345
