Node,Community
Janibacter sp. DB-40,0
Janibacter terrae,0
Janibacter alittae,0
Janibacter cremeus,0
Janibacter limosus,0
Brevibacterium siliguriense,1
Brevibacterium limosum,1
Brevibacterium sp. 'Marine',1
Streptomyces sp. T12,2
Hydrogenophaga sp. NH-16,2
Acinetobacter baumannii,2
Acidovorax sp. BLS4,2
Klebsiella pneumoniae,2
Pseudomonas sp. CIP-10,3
Bacillus velezensis,3
Stenotrophomonas maltophilia,3
Enterobacter sp. T2,3
Janthinobacterium agaricidamnosum,3
Burkholderia multivorans,3
Toxoplasma gondii,4
Plasmodium knowlesi,4
Bacillus paralicheniformis,4
Plasmodium vivax,4
Staphylococcus sp. 11-B-312,5
Staphylococcus arlettae,5
Salinicoccus sp. HZC-1,5
Staphylococcus ureilyticus,5
Jeotgalicoccus saudimassiliensis,5
Staphylococcus nepalensis,5
Jeotgalicoccus sp. WY2,6
Escherichia coli,6
Plasmodium vinckei,6
Bacillus cereus,6
Clostridium sp. DL-VIII,6
[Clostridium] scindens,6
Peribacillus frigoritolerans,6
Megasphaera elsdenii,6
Lactobacillus johnsonii,6
Paraclostridium sordellii,6
Staphylococcus simulans,6
Streptococcus alactolyticus,6
Spironucleus salmonicida,6
Enterococcus faecium,6
Terrisporobacter petrolearius,6
Aliarcobacter cryaerophilus,6
Proteus mirabilis,6
Areca yellow leaf disease phytoplasma,6
Besnoitia besnoiti,6
Bacteroides thetaiotaomicron,6
Aerococcus urinaeequi,6
Dorea longicatena,6
Mammaliicoccus sciuri,6
Halomonas sp. JS92-SW72,6
Jeotgalibaca porci,6
Segatella hominis,6
Limosilactobacillus reuteri,6
Plasmodium yoelii,6
Acinetobacter towneri,6
Clostridium perfringens,6
Snodgrassella alvi,6
Clostridium saccharoperbutylacetonicum,6
Bacillus mycoides,6
Phascolarctobacterium succinatutens,6
Trichomonas vaginalis,6
Candidatus Hodgkinia cicadicola,6
Blautia luti,6
Thalassiosira pseudonana,6
uncultured Subdoligranulum sp.,6
Acinetobacter lwoffii,6
Cohnella abietis,6
Terrisporobacter mayombei,6
Staphylococcus cohnii,6
Acinetobacter corruptisaponis,6
Clostridioides difficile,6
uncultured Acetobacteroides sp.,6
Nosocomiicoccus ampullae,6
Blautia wexlerae,6
Plasmodium chabaudi,6
Trypanosoma brucei,6
Babesia microti,6
Turicibacter sp. TJ11,6
Owariibacterium komagatae,6
Cryptosporidium parvum,6
Theileria equi,6
Pseudoflavonifractor gallinarum,6
Limosilactobacillus vaginalis,6
Segatella copri,6
Blautia obeum,6
Staphylococcus equorum,6
Macrococcoides caseolyticum,6
Flavonifractor plautii,6
Jeotgalicoccus sp. ATCC 8456,6
Neospora caninum,6
Bacillus thuringiensis,6
Lactobacillus amylovorus,6
Anaerobutyricum hallii,6
Enterococcus cecorum,6
Clostridium baratii,6
Clostridium beijerinckii,6
Catenibacterium mitsuokai,6
Turicibacter bilis,6
Sellimonas catena,6
Lactobacillus helveticus,6
Romboutsia sp. 13368,6
Romboutsia ilealis,6
Acinetobacter pseudolwoffii,6
Claveliimonas bilis,6
Staphylococcus aureus,6
Lactobacillus crispatus,6
Salmonella enterica,6
Subdoligranulum variabile,6
Clostridium estertheticum,6
Cryptomonas paramecium,6
Ruoffia tabacinasalis,6
Dictyostelium discoideum,6
[Ruminococcus] torques,6
Clostridium intestinale,6
Mammaliicoccus lentus,6
Romboutsia sp. CE17,6
Phaeodactylum tricornutum,6
Lacrimispora xylanisolvens,6
Ligilactobacillus salivarius,6
Streptococcus suis,6
Flintibacter sp. KGMB00164,6
Roseburia faecis,6
Globicatella sp. PHS-GS-PNBC-21-1553,6
Acinetobacter indicus,6
Kluyvera ascorbata,7
Klebsiella huaxiensis,7
Pseudomonas extremaustralis,7
Lacticaseibacillus manihotivorans,7
Kosakonia sacchari,7
Gluconobacter thailandicus,7
Lacticaseibacillus pantheris,7
Weissella confusa,7
Liquorilactobacillus hordei,7
Comamonas piscis,7
Kosakonia sp. MUSA4,7
Leuconostoc lactis,7
Symbiopectobacterium purcellii,7
Kosakonia calanthes,7
Acetobacter sp. KSO5,7
Pseudomonas kurunegalensis,7
Stenotrophomonas sp. ESTM1D_MKCIP4_1,7
Gluconobacter albidus,7
Raoultella terrigena,7
Acetobacter senegalensis,7
Brucella pituitosa,7
Agrobacterium cucumeris,7
Leuconostoc falkenbergense,7
Stenotrophomonas sp. ZAC14A_NAIMI4_1,7
Kosakonia cowanii,7
Acetobacter tropicalis,7
Frateuria aurantia,7
Leuconostoc pseudomesenteroides,7
Kosakonia radicincitans,7
Limosilactobacillus fermentum,7
Gluconobacter roseus,7
Schleiferilactobacillus harbinensis,7
Citrobacter freundii,7
Gluconobacter oxydans,7
Kluyvera sichuanensis,7
Phytobacter ursingii,7
Gluconobacter frateurii,7
Acetobacter pasteurianus,7
Rhodococcus erythropolis,7
Gluconobacter sphaericus,7
Lacticaseibacillus paracasei,7
Paucilactobacillus suebicus,7
Kluyvera intermedia,7
Enterobacter cloacae,7
Prevotella herbatica,7
Dysgonomonas capnocytophagoides,7
Pseudomonas xanthosomatis,7
Enterococcus sp. CR-Ec1,7
Lentilactobacillus hilgardii,7
Kozakia baliensis,7
Brucella pseudogrignonensis,7
Acetobacter ghanensis,7
Acetobacter vaccinii,7
Enterobacter soli,7
Novacetimonas hansenii,7
Leuconostoc gasicomitatum,7
Comamonas sp. B21-038,7
Paraburkholderia tropica,7
Acetobacter orientalis,7
Komagataeibacter medellinensis,7
Raoultella sp. HC6,7
Klebsiella variicola,7
Komagataeibacter nataicola,7
Leuconostoc mesenteroides,7
Leuconostoc citreum,7
Lactiplantibacillus plantarum,7
Lacrimispora sp. JR3,7
Enterobacter huaxiensis,7
Lactococcus lactis,7
Liquorilactobacillus nagelii,7
Secundilactobacillus paracollinoides,7
Kluyvera cryocrescens,7
Lactiplantibacillus argentoratensis,7
Acetobacter aceti,7
Weissella cibaria,7
Pantoea rwandensis,7
Acetobacter oryzoeni,7
Klebsiella michiganensis,7
Acetobacter ascendens,7
Levilactobacillus brevis,7
Lactococcus taiwanensis,7
Rhizosphaericola mali,7
Comamonas terrigena,7
Kosakonia oryzae,7
Pseudomonas sp. MPB23,7
Tatumella citrea,7
Komagataeibacter saccharivorans,7
Acetobacter persici,7
Cedecea neteri,7
Weissella paramesenteroides,7
Blautia hansenii,8
Faecalimonas umbilicata,8
Mediterraneibacter gnavus,8
Peptacetobacter hiranonis,8
Catenibacterium sp. co_0103,8
Streptococcus lutetiensis,8
Megamonas funiformis,8
Streptococcus pluranimalium,9
Candidatus Liberibacter africanus,9
Helicobacter pylori,9
Candidatus Atelocyanobacterium thalassa,9
Guillardia theta,9
Limnospira indica,9
Clostridium botulinum,9
Candidatus Phytoplasma rubi,9
Lactiplantibacillus pentosus,9
Bigelowiella natans,9
Prochlorococcus marinus,9
Xanthomonas albilineans,9
Candidatus Phytoplasma solani,9
Dolichospermum heterosporum,10
Calothrix sp. 336/3,10
Fischerella sp. JS2,10
Nostoc sp. UHCC 0302,10
Nodularia spumigena,10
Anabaena cylindrica,10
Anabaena sp. 90,10
Chlorogloeopsis fritschii,10
Nostoc commune,10
Nostoc sp. TCL26-01,10
Anabaenopsis elenkinii,10
Nostoc sp. CENA543,10
Nostoc sp. C057,10
Nostoc sp. C110,10
Fischerella sp. NIES-3754,10
Nostoc sp. TCL240-02,10
Nostoc sp. PCC 7107,10
Rivularia sp. PCC 7116,10
Richelia sinica,10
Nostoc sp. C117,10
Sphaerospermopsis torques-reginae,10
Cylindrospermum stagnale,10
Nostoc sp. PCC 7120 = FACHB-418,10
Anabaena sp. WA102,10
Nostoc edaphicum,10
Moorena producens,10
Nostoc piscinale,10
Nostoc flagelliforme,10
Halotia branconii,10
Nostoc punctiforme,10
Nostoc sphaeroides,10
Gloeothece verrucosa,10
Nostoc sp. ATCC 53789,10
Trichormus azollae,10
Dolichospermum compactum,10
Nostoc sp. C052,10
Nostoc sp. NIES-3756,10
Nodularia sphaerocarpa,10
