Node,Community
Sphingopyxis alaskensis,0
Polaromonas sp. JS666,0
Brevirhabdus pacifica,0
Erythrobacter litoralis,0
Microbacterium hominis,0
Roseateles sp. DAIF2,0
Altererythrobacter sp. B11,0
Croceicoccus marinus,0
Erythrobacter sp. THAF29,0
Sphaerotilus microaerophilus,1
Lysobacter capsici,1
Paracoccus aminophilus,1
Methylibium petroleiphilum,1
Microbacterium caowuchunii,1
Microbacterium limosum,1
Termitidicoccus mucosus,1
Thioclava electrotropha,2
Phycicoccus endophyticus,2
Agromyces sp. LHK192,2
Gryllotalpicola protaetiae,2
Cnuibacter physcomitrellae,2
Xylanimonas cellulosilytica,2
Isoptericola variabilis,2
Methylosinus trichosporium,3
Burkholderia ubonensis,3
Burkholderia cepacia,3
Streptomyces sp. R21,3
Comamonas flocculans,3
Streptomyces virginiae,4
Streptomyces lydicus,4
Streptomyces sp. NBC_00425,4
Bradyrhizobium prioriisuperbiae,5
Methyloceanibacter caenitepidi,5
Cupriavidus sp. WKF15,5
Marilutibacter alkalisoli,5
Achromobacter denitrificans,5
Achromobacter sp. AONIH1,5
Delftia tsuruhatensis,5
Magnetospirillum gryphiswaldense,6
uncultured Roseibium sp.,6
Bradyrhizobium oligotrophicum,6
Rhizobium sp. SYY.PMSO,6
Sphingobium phenoxybenzoativorans,7
Novosphingobium sp. 9,7
Sphingobium sp. SYK-6,7
uncultured Sphingopyxis sp.,7
Sphingomonas psychrotolerans,7
Caulobacter vibrioides,7
Sphingomonas sp. SUN039,7
Novosphingobium sp. P6W,7
Sphingosinithalassobacter sp. CS137,7
Bordetella trematum,8
Methylobacterium oryzae,8
Novosphingobium sp. BL-52-GroH,8
Tardibacter chloracetimidivorans,8
Roseateles sp. SL47,8
Cupriavidus metallidurans,8
Caulobacter sp. NIBR1757,8
Rhodobacter xanthinilyticus,9
Aquabacterium sp. J223,9
Cupriavidus gilardii,9
Caldimonas brevitalea,9
Sulfitobacter faviae,9
Erythrobacter aureus,9
Neotabrizicola shimadae,9
Porphyrobacter sp. CACIAM 03H1,10
Blastomonas marina,10
Pelagerythrobacter marinus,10
Phenylobacterium zucineum,10
Azospirillum ramasamyi,10
Xylophilus rhododendri,10
uncultured Pleomorphomonas sp.,10
Bosea sp. Tri-49,10
Eleftheria terrae,10
Agrilutibacter solisilvae,10
Cupriavidus sp. DF5525,10
Bosea vaviloviae,11
Bosea sp. PAMC 26642,11
Terrirubrum flagellatum,11
Bosea vestrisii,11
Azospirillum brasilense,11
Stella humosa,11
Starkeya sp. ORNL1,11
Sinorhizobium fredii,11
Pelagibacterium halotolerans,11
Azospirillum sp. TSH100,11
Bosea sp. (in: a-proteobacteria),11
Phenylobacterium montanum,11
Bosea sp. NBC_00550,11
Tistrella mobilis,11
Gaopeijia maritima,11
