"v1","v2","asso","diss","adja"
"Microbacterium sp. SY138","Micromonospora sp. DPT",0.568857916358133,0.464296286675797,0.535703713324203
"Microbacterium sp. SY138","Nonomuraea sp. N2-4H",0.633485328910997,0.428085663792309,0.571914336207691
"Microbacterium sp. SY138","Jatrophihabitans cynanchi",0.50193502150766,0.499031551353389,0.500968448646611
"Microbacterium sp. 1.5R","Microbacterium terricola",0.538356656412388,0.480439040663648,0.519560959336352
"Microbacterium sp. 1.5R","Metabacillus indicus",0.520007024642226,0.489894363795795,0.510105636204205
"Microbacterium sp. EF45047","Streptomyces sp. NBC_00490",0.522724657614832,0.488505548783823,0.511494451216177
"Microbacterium sp. EF45047","Metabacillus indicus",0.544319791275562,0.477325993805302,0.522674006194698
"Microbacterium hominis","Microbacterium esteraromaticum",0.577574265037075,0.459579011141134,0.540420988858866
"Microbacterium hominis","Streptomyces sp. NBC_00490",0.542185368885173,0.478442593795132,0.521557406204868
"Microbacterium hominis","Dactylosporangium vinaceum",0.565577284860411,0.466059392749245,0.533940607250755
"Microbacterium esteraromaticum","Streptomyces sp. NBC_00490",0.509415722793826,0.495269763465414,0.504730236534586
"Microbacterium esteraromaticum","Dactylosporangium vinaceum",0.634244439692227,0.427642116908387,0.572357883091613
"Microbacterium esteraromaticum","Metabacillus indicus",0.54075731801839,0.479188210404644,0.520811789595356
"Microbacterium terricola","Metabacillus indicus",0.50804982061723,0.495958758054927,0.504041241945073
"Curtobacterium sp. Curtsp57","Priestia aryabhattai",0.522166490972177,0.488791115420393,0.511208884579607
"Curtobacterium sp. Curtsp57","Metabacillus rhizosphaerae",0.63406463349814,0.427747218869895,0.572252781130105
"Agrococcus sp. ProA11","Rathayibacter sp. VKM Ac-2801",0.591510852185125,0.451934258391016,0.548065741608984
"Agrococcus sp. ProA11","Arthrobacter alpinus",0.509350676518227,0.495302596137842,0.504697403862158
"Agrococcus sp. ProA11","Streptomyces sp. AM 3-1-1",0.545299192510623,0.476812755434131,0.523187244565869
"Rathayibacter sp. VKM Ac-2801","Arthrobacter sulfonylureivorans",0.539874582063545,0.479648526494377,0.520351473505623
"Rathayibacter sp. VKM Ac-2801","Arthrobacter alpinus",0.640298710627679,0.424088015258815,0.575911984741185
"Rathayibacter sp. VKM Ac-2801","Streptomyces sp. AM 3-1-1",0.58240848080623,0.456941746393219,0.543058253606781
"Arthrobacter sulfonylureivorans","Arthrobacter alpinus",0.52919839859056,0.48518120398952,0.51481879601048
"Pseudarthrobacter defluvii","Brachybacterium huguangmaarense",0.540270093857493,0.479442335501626,0.520557664498374
"Pseudarthrobacter defluvii","Georgenia sp. SUBG003",0.618511066388535,0.43674302147342,0.56325697852658
"Pseudarthrobacter defluvii","Actinocatenispora sera",0.549904934828052,0.474391750124277,0.525608249875723
"Paenarthrobacter sp. YJN-5","Brachybacterium huguangmaarense",0.506589937053817,0.49669410251491,0.50330589748509
"Paenarthrobacter sp. YJN-5","Peribacillus muralis",0.607542186901569,0.442977320581105,0.557022679418895
"Brachybacterium huguangmaarense","Georgenia sp. SUBG003",0.573902068797194,0.461572275598744,0.538427724401256
"Brachybacterium huguangmaarense","Streptomyces sp. NBC_01281",0.509652741008727,0.495150108043648,0.504849891956352
"Brachybacterium huguangmaarense","Actinocatenispora sera",0.558417029489474,0.469884544601398,0.530115455398602
"Brachybacterium huguangmaarense","Peribacillus muralis",0.536078988494631,0.481622783672746,0.518377216327254
"Brachybacterium huguangmaarense","Lysinibacillus telephonicus",0.507033261009201,0.49647091505485,0.50352908494515
"Streptomyces sp. NBC_01281","Peribacillus muralis",0.55559738553793,0.471382336570893,0.528617663429107
"Streptomyces phaeolivaceus","Rhodococcus sp. JVH1",0.500319582849304,0.499840183033885,0.500159816966115
"Streptomyces phaeolivaceus","Micromonospora siamensis",0.574323409688697,0.46134400955865,0.53865599044135
"Streptomyces phaeolivaceus","Bifidobacterium actinocoloniiforme",0.570163891810739,0.463592551810995,0.536407448189005
"Corynebacterium sp. L2-79-05","Bacillus amyloliquefaciens",0.508216496494703,0.495874733932521,0.504125266067479
