"v1","v2","asso","diss","adja"
"Microbacterium sp. SY138","Micromonospora sp. DPT",0.568857916358133,0.464296286675797,0.535703713324203
"Microbacterium sp. SY138","Nonomuraea sp. N2-4H",0.633485328910997,0.428085663792309,0.571914336207691
"Microbacterium hominis","Microbacterium esteraromaticum",0.577574265037075,0.459579011141134,0.540420988858866
"Microbacterium hominis","Dactylosporangium vinaceum",0.565577284860411,0.466059392749245,0.533940607250755
"Microbacterium esteraromaticum","Dactylosporangium vinaceum",0.634244439692227,0.427642116908387,0.572357883091613
"Rhodococcus sp. ABRD24","Rhodococcus sp. JS3073",0.618703279354271,0.436632981258705,0.563367018741295
"Rhodococcus sp. ABRD24","Rhodococcus sp. DMU1",0.627695976636022,0.431453371387905,0.568546628612095
"Rhodococcus sp. ABRD24","Bifidobacterium pseudocatenulatum",0.559865904565414,0.469113043644379,0.530886956355621
"Rhodococcus sp. JS3073","Nocardia vinacea",0.550753575949591,0.473944313211167,0.526055686788833
"Rhodococcus sp. JS3073","Dermatobacter hominis",0.56361258025258,0.467112095619146,0.532887904380854
"Rhodococcus sp. DMU1","Bifidobacterium pseudocatenulatum",0.604600751154933,0.444634259164241,0.555365740835759
"Nocardia vinacea","Dermatobacter hominis",0.63823339131811,0.425303778893328,0.574696221106672
"Micromonospora sp. DPT","Nonomuraea sp. N2-4H",0.640720489174884,0.42383930376094,0.57616069623906
"Micromonospora sp. WMMA1947","Modestobacter italicus",0.579411152532724,0.458578699607426,0.541421300392574
"Micromonospora sp. WMMA1947","Jatrophihabitans cynanchi",0.657561086379911,0.413786728653837,0.586213271346163
"Micromonospora sp. WMMA1947","Metabacillus sediminis",0.554615148435364,0.471902983442909,0.528097016557091
"Micromonospora sp. WMMA1947","Sutcliffiella sp. FSL R7-0096",0.753542420195934,0.351039584522932,0.648960415477068
"Modestobacter italicus","Sutcliffiella sp. FSL R7-0096",0.561994822018277,0.467977124431165,0.532022875568835
"Jatrophihabitans cynanchi","Metabacillus rhizosphaerae",0.772122186440052,0.337548376947622,0.662451623052378
"Metabacillus rhizosphaerae","Metabacillus sediminis",0.559550716237205,0.469280983933291,0.530719016066709
