Threshold,NetworkType,Dataset,Nodes,Edges,Number_communities,Modularity,Avg_degree,Avg_clustering_coefficient,Density
0.1,cclasso,NOPGE_sp_01_asso,3269,1068437,5,0.322451778,131.3918329,0.124806003,0.200023926
0.15,cclasso,NOPGE_sp_01_asso,3269,642943,6,0.3687536,99.36599962,0.15451963,0.120366463
0.2,cclasso,NOPGE_sp_01_asso,3260,382286,5,0.429539455,71.99556764,0.185728012,0.071964188
0.25,cclasso,NOPGE_sp_01_asso,3209,229390,7,0.471521748,51.91795019,0.217816977,0.044565666
0.3,cclasso,NOPGE_sp_01_asso,2986,143875,9,0.492653998,40.1774832,0.25862265,0.032283543
0.35,cclasso,NOPGE_sp_01_asso,2581,94972,14,0.520877639,34.23229361,0.307144417,0.028524489
0.4,cclasso,NOPGE_sp_01_asso,2046,64651,27,0.53019481,32.09783319,0.37935735,0.030903403
0.45,cclasso,NOPGE_sp_01_asso,1610,43958,38,0.542882032,29.88170753,0.443958575,0.033937981
0.5,cclasso,NOPGE_sp_01_asso,1248,28900,40,0.56601031,27.0951578,0.51355562,0.037140419
0.55,cclasso,NOPGE_sp_01_asso,976,17964,36,0.605031168,22.89096909,0.559267131,0.037755359
0.6,cclasso,NOPGE_sp_01_asso,740,10084,28,0.648700746,17.96130922,0.581619013,0.03687964
0.65,cclasso,NOPGE_sp_01_asso,499,5078,23,0.671837278,14.10629728,0.63401548,0.040868886
0.7,cclasso,NOPGE_sp_01_asso,288,1830,19,0.641764293,9.231019499,0.667245105,0.044279907
0.75,cclasso,NOPGE_sp_01_asso,75,215,10,0.69196046,4.359593162,0.70171976,0.077477477
0.8,cclasso,NOPGE_sp_01_asso,No network available,No network available,No network available,No network available,No network available,No network available,No network available
