Threshold,NetworkType,Dataset,Nodes,Edges,Number_communities,Modularity,Avg_degree,Avg_clustering_coefficient,Density
0.10,cclasso,PGE_and_NOPGE_combined_gen_01,998,221286,3,0.13331911135805857,142.75018731197198,0.2652417295346865,0.4447932977288579
0.75,cclasso,PGE_and_NOPGE_combined_gen_01,6,9,2,0.1655039690383448,2.276780303536844,0.7085671197914296,0.6
0.20,cclasso,PGE_and_NOPGE_combined_gen_01,998,191348,4,0.21570638110656534,132.1163807652452,0.24389177041882962,0.38461677618024415
0.45,cclasso,PGE_and_NOPGE_combined_gen_01,829,33668,9,0.2885170496457798,43.504592262405616,0.4701615048990355,0.09809851809117556
0.60,cclasso,PGE_and_NOPGE_combined_gen_01,319,6133,12,0.40495378589846326,24.80145895561765,0.6212466289916633,0.1209163857179472
0.50,cclasso,PGE_and_NOPGE_combined_gen_01,663,20918,17,0.28530135545099944,36.17878054946168,0.5168443292806898,0.09531881541833559
0.35,cclasso,PGE_and_NOPGE_combined_gen_01,998,88119,3,0.4318180427375475,78.648874260647,0.37086385184757703,0.17712255001477378
0.40,cclasso,PGE_and_NOPGE_combined_gen_01,937,52335,5,0.3555821160883943,55.35953336156705,0.4297620246111457,0.11934570232329036
0.25,cclasso,PGE_and_NOPGE_combined_gen_01,998,127833,3,0.37225182594721357,103.18170607751854,0.2881962765631729,0.25694920432640606
0.70,cclasso,PGE_and_NOPGE_combined_gen_01,122,425,9,0.7441442869407197,5.015105308348191,0.6348387069541034,0.05758027367565371
0.15,cclasso,PGE_and_NOPGE_combined_gen_01,998,218887,4,0.1392939806053625,142.07249748750715,0.26283555501302786,0.43997121625397234
0.30,cclasso,PGE_and_NOPGE_combined_gen_01,998,113427,3,0.430183842144504,95.84203152248875,0.35264330277300043,0.2279925950195275
0.55,cclasso,PGE_and_NOPGE_combined_gen_01,419,11995,17,0.3299619615055624,34.93979955643535,0.6061955227896892,0.13697456920670084
0.65,cclasso,PGE_and_NOPGE_combined_gen_01,234,2331,10,0.5339721949548749,13.555058194869046,0.6215556897993599,0.08550676791020138
