Threshold,NetworkType,Dataset,Nodes,Edges,Number_communities,Modularity,Avg_degree,Avg_clustering_coefficient,Density
0.10,cclasso,PGE_gen_01,968,45446,5,0.42995579508092546,29.233252840576434,0.31329073556163967,0.09710102814361533
0.20,cclasso,PGE_gen_01,968,45017,5,0.42686860486373496,29.068352001513134,0.30520377471925886,0.09618441631697248
0.45,cclasso,PGE_gen_01,47,73,7,0.8040683934174384,1.4682778132751257,0.536789691444775,0.06753006475485661
0.50,cclasso,PGE_gen_01,3,3,Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges)
0.35,cclasso,PGE_gen_01,803,13921,6,0.6305244960877278,13.04919909887994,0.40157401806390025,0.043232516467237886
0.40,cclasso,PGE_gen_01,353,1942,8,0.632457394889613,4.610237734870302,0.42147266678387707,0.031258047901107394
0.25,cclasso,PGE_gen_01,949,33542,6,0.49922287074019533,23.969982692769058,0.28057236043519673,0.0745666102003886
0.15,cclasso,PGE_gen_01,968,45434,5,0.4299422308166147,29.22980908787318,0.31290980478649183,0.097075388651961
0.30,cclasso,PGE_gen_01,926,27485,6,0.6040224031648169,21.23370356838746,0.38707106754856757,0.0641760551047808
0.55,cclasso,PGE_gen_01,No network available,No network available,No network available,No network available,No network available,No network available,No network available
