Threshold,NetworkType,Dataset,Nodes,Edges,Number_communities,Modularity,Avg_degree,Avg_clustering_coefficient,Density
0.10,cclasso,PGE_sp_01,3107,528527,5,0.34448515380698674,104.67101458906136,0.24708211569076474,0.10953539263168083
0.20,cclasso,PGE_sp_01,3107,523132,5,0.34578444185181817,104.03035689956178,0.2403303385676967,0.10841729754240834
0.45,cclasso,PGE_sp_01,515,1850,20,0.6792224638135529,3.4021435617924984,0.35859953997546967,0.013977560349061236
0.60,cclasso,PGE_sp_01,No network available,No network available,No network available,No network available,No network available,No network available,No network available
0.50,cclasso,PGE_sp_01,84,139,10,0.7758212485928662,1.7419921045783024,0.4330162440024481,0.039873780837636257
0.35,cclasso,PGE_sp_01,2872,146163,7,0.5420719365107566,38.39276054617909,0.3074207712954597,0.035452740836469585
0.40,cclasso,PGE_sp_01,1616,24366,8,0.5640806703062853,12.712158051006561,0.32066179320471644,0.01867240903656929
0.25,cclasso,PGE_sp_01,3099,382926,6,0.4161503392383117,82.98369240831298,0.20822747067831593,0.07977041678827236
0.15,cclasso,PGE_sp_01,3107,528320,5,0.3464020459083634,104.65262486530933,0.2466034228207124,0.10949249259767167
0.30,cclasso,PGE_sp_01,3089,303656,5,0.5160174990979766,70.19252660855635,0.3007271726675009,0.06366733369452361
0.55,cclasso,PGE_sp_01,0,0,Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges),Network too small (<= 3 edges)
0.65,cclasso,PGE_sp_01,No network available,No network available,No network available,No network available,No network available,No network available,No network available
